ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
2,Delray Beach,Delray Beach Open,8/01/2021,ATP250,Outdoor,Hard,1st Round,3,Harrison C.,Etcheverry T.,280,256,225,216,6,4,6,2,,,,,,,2,0,Completed,1.33,3.25,1.36,3.42,1.55,3.42,1.39,3.01
2,Delray Beach,Delray Beach Open,8/01/2021,ATP250,Outdoor,Hard,1st Round,3,Galan D.,Martin A.,115,100,606,734,6,4,6,4,,,,,,,2,0,Completed,1.4,2.75,1.47,2.87,1.54,2.88,1.46,2.7
2,Delray Beach,Delray Beach Open,8/01/2021,ATP250,Outdoor,Hard,1st Round,3,Quiroz R.,Rubin N.,293,251,171,219,7,6,6,3,,,,,,,2,0,Completed,2,1.72,2.12,1.79,2.2,1.88,2.07,1.76
2,Delray Beach,Delray Beach Open,8/01/2021,ATP250,Outdoor,Hard,1st Round,3,Fratangelo B.,King K.,274,304,195,154,6,2,6,2,,,,,,,2,0,Completed,1.5,2.5,1.52,2.68,1.61,2.8,1.5,2.57
2,Delray Beach,Delray Beach Open,8/01/2021,ATP250,Outdoor,Hard,1st Round,3,Norrie C.,Aragone J.C.,74,299,877,165,6,2,6,1,,,,,,,2,0,Completed,1.2,4.33,1.2,5.13,1.23,6,1.18,4.85
2,Delray Beach,Delray Beach Open,8/01/2021,ATP250,Outdoor,Hard,1st Round,3,Karlovic I.,Andujar P.,148,59,444,1044,6,3,5,7,6,4,,,,,2,1,Completed,2.62,1.44,2.86,1.47,3,1.61,2.72,1.46
2,Delray Beach,Delray Beach Open,9/01/2021,ATP250,Outdoor,Hard,1st Round,3,Tiafoe F.,Young D.,62,327,1005,135,6,3,6,4,,,,,,,2,0,Completed,1.22,4,1.19,5.38,1.27,5.75,1.19,4.69
2,Delray Beach,Delray Beach Open,9/01/2021,ATP250,Outdoor,Hard,2nd Round,3,Mager G.,Querrey S.,101,56,733,1065,7,6,6,1,,,,,,,2,0,Completed,4,1.22,3.97,1.29,4.2,1.3,3.84,1.25
2,Delray Beach,Delray Beach Open,9/01/2021,ATP250,Outdoor,Hard,2nd Round,3,Harrison C.,Garin C.,280,22,225,2180,7,6,6,2,,,,,,,2,0,Completed,2.62,1.44,2.51,1.6,3.02,1.63,2.55,1.51
2,Delray Beach,Delray Beach Open,9/01/2021,ATP250,Outdoor,Hard,2nd Round,3,Korda S.,Paul T.,119,52,566,1080,4,6,6,3,6,2,,,,,2,1,Completed,2.37,1.53,2.69,1.53,2.69,1.62,2.45,1.54
2,Delray Beach,Delray Beach Open,10/01/2021,ATP250,Outdoor,Hard,2nd Round,3,Isner J.,Monteiro T.,25,84,1850,820,6,4,7,6,,,,,,,2,0,Completed,1.5,2.5,1.48,2.86,1.54,3.03,1.47,2.67
2,Delray Beach,Delray Beach Open,10/01/2021,ATP250,Outdoor,Hard,2nd Round,3,Hurkacz H.,Galan D.,35,115,1518,606,6,2,6,2,,,,,,,2,0,Completed,1.36,3,1.41,3.19,1.41,3.52,1.36,3.12
2,Delray Beach,Delray Beach Open,10/01/2021,ATP250,Outdoor,Hard,2nd Round,3,Tiafoe F.,Fratangelo B.,62,274,1005,195,6,4,3,6,6,1,,,,,2,1,Completed,1.3,3.4,1.29,4,1.34,4,1.29,3.53
2,Delray Beach,Delray Beach Open,10/01/2021,ATP250,Outdoor,Hard,2nd Round,3,Quiroz R.,Karlovic I.,293,148,171,444,6,2,6,4,,,,,,,2,0,Completed,2.1,1.66,2.36,1.67,2.4,1.75,2.22,1.66
2,Delray Beach,Delray Beach Open,11/01/2021,ATP250,Outdoor,Hard,2nd Round,3,Norrie C.,Mannarino A.,74,34,877,1561,6,2,7,5,,,,,,,2,0,Completed,1.8,1.9,1.92,1.99,2,2.25,1.84,1.95
2,Delray Beach,Delray Beach Open,11/01/2021,ATP250,Outdoor,Hard,Quarterfinals,3,Harrison C.,Mager G.,280,101,225,733,7,6,6,4,,,,,,,2,0,Completed,1.72,2.1,1.68,2.34,1.79,2.34,1.69,2.18
2,Delray Beach,Delray Beach Open,11/01/2021,ATP250,Outdoor,Hard,Quarterfinals,3,Hurkacz H.,Quiroz R.,35,293,1518,171,6,4,6,4,,,,,,,2,0,Completed,1.16,5,1.19,5.37,1.22,6.5,1.15,5.4
2,Delray Beach,Delray Beach Open,11/01/2021,ATP250,Outdoor,Hard,Quarterfinals,3,Korda S.,Isner J.,119,25,566,1850,6,3,4,6,6,3,,,,,2,1,Completed,2.1,1.72,2.13,1.8,2.2,1.92,2.1,1.74
2,Delray Beach,Delray Beach Open,12/01/2021,ATP250,Outdoor,Hard,Quarterfinals,3,Norrie C.,Tiafoe F.,74,62,877,1005,6,0,3,6,6,4,,,,,2,1,Completed,2.1,1.72,2.03,1.88,2.2,1.91,2.04,1.78
2,Delray Beach,Delray Beach Open,12/01/2021,ATP250,Outdoor,Hard,Semifinals,3,Hurkacz H.,Harrison C.,35,280,1518,225,7,6,6,4,,,,,,,2,0,Completed,1.36,3.2,1.41,3.18,1.44,3.6,1.37,3.13
2,Delray Beach,Delray Beach Open,13/01/2021,ATP250,Outdoor,Hard,Semifinals,3,Korda S.,Norrie C.,119,74,566,877,6,3,7,5,,,,,,,2,0,Completed,1.66,2.2,1.76,2.19,1.78,2.33,1.69,2.17
2,Delray Beach,Delray Beach Open,13/01/2021,ATP250,Outdoor,Hard,The Final,3,Hurkacz H.,Korda S.,35,119,1518,566,6,3,6,3,,,,,,,2,0,Completed,1.8,2,1.83,2.09,1.92,2.14,1.81,2
3,Melbourne,Great Ocean Road Open,31/01/2021,ATP250,Outdoor,Hard,1st Round,3,Vukic A.,Lu Y.,195,1008,334,10,6,4,7,5,,,,,,,2,0,Completed,1.16,5,1.22,4.85,1.22,5.5,1.17,4.95
3,Melbourne,Great Ocean Road Open,31/01/2021,ATP250,Outdoor,Hard,1st Round,3,Majchrzak K.,Djere L.,109,56,690,1068,6,3,6,4,,,,,,,2,0,Completed,1.4,2.75,1.56,2.59,1.56,3,1.44,2.76
3,Melbourne,Great Ocean Road Open,31/01/2021,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Uchiyama Y.,58,106,1055,701,7,6,7,6,,,,,,,2,0,Completed,1.4,2.75,1.33,3.62,1.45,4.2,1.33,3.29
3,Melbourne,Great Ocean Road Open,1/02/2021,ATP250,Outdoor,Hard,1st Round,3,O Connell C.,Koepfer D.,121,68,565,931,5,7,6,4,6,1,,,,,2,1,Completed,2.25,1.57,2.23,1.72,2.5,1.74,2.27,1.62
3,Melbourne,Great Ocean Road Open,1/02/2021,ATP250,Outdoor,Hard,1st Round,3,Purcell M.,Gombos N.,238,89,241,797,6,4,6,4,,,,,,,2,0,Completed,2.62,1.44,2.95,1.45,2.95,1.53,2.76,1.44
3,Melbourne,Great Ocean Road Open,1/02/2021,ATP250,Outdoor,Hard,1st Round,3,Kwon S.W.,Martin A.,97,102,768,734,6,3,6,7,7,6,,,,,2,1,Completed,1.25,3.75,1.28,4.01,1.29,4.1,1.26,3.81
3,Melbourne,Great Ocean Road Open,1/02/2021,ATP250,Outdoor,Hard,1st Round,3,Travaglia S.,Carballes Baena R.,71,98,894,751,2,6,7,5,7,6,,,,,2,1,Completed,1.36,3,1.45,2.94,1.47,3,1.41,2.86
3,Melbourne,Great Ocean Road Open,1/02/2021,ATP250,Outdoor,Hard,1st Round,3,Anderson K.,Lopez F.,82,63,825,998,6,4,7,5,,,,,,,2,0,Completed,1.44,2.62,1.41,3.14,1.49,3.2,1.4,2.9
3,Melbourne,Great Ocean Road Open,1/02/2021,ATP250,Outdoor,Hard,1st Round,3,Caruso S.,Seppi A.,76,107,858,699,7,5,7,6,,,,,,,2,0,Completed,1.72,2,1.76,2.16,1.8,2.34,1.72,2.11
3,Melbourne,Great Ocean Road Open,2/02/2021,ATP250,Outdoor,Hard,1st Round,3,Sandgren T.,Smith J.P.,50,318,1088,143,6,3,5,7,6,4,,,,,2,1,Completed,1.53,2.37,1.7,2.27,1.8,2.45,1.66,2.21
3,Melbourne,Great Ocean Road Open,2/02/2021,ATP250,Outdoor,Hard,1st Round,3,Herbert P.H.,Cressy M.,84,171,822,389,6,7,7,6,7,5,,,,,2,1,Completed,1.44,2.62,1.45,2.93,1.53,2.93,1.46,2.71
3,Melbourne,Great Ocean Road Open,2/02/2021,ATP250,Outdoor,Hard,1st Round,3,Cuevas P.,Andujar P.,70,59,927,1044,6,4,6,2,,,,,,,2,0,Completed,2.1,1.66,2.25,1.71,2.25,1.8,2.14,1.7
3,Melbourne,Great Ocean Road Open,2/02/2021,ATP250,Outdoor,Hard,1st Round,3,Sweeny D.,Nam J.S.,797,273,22,205,7,6,7,5,,,,,,,2,0,Completed,2.25,1.57,2.07,1.83,2.33,1.83,2.1,1.72
3,Melbourne,Great Ocean Road Open,2/02/2021,ATP250,Outdoor,Hard,1st Round,3,Alcaraz C.,Balazs A.,146,94,464,779,2,2,,,,,,,,,0,0,Retired,1.22,4,1.3,3.81,1.31,4.2,1.26,3.75
3,Melbourne,Great Ocean Road Open,2/02/2021,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Mager G.,52,96,1084,770,4,6,6,4,6,3,,,,,2,1,Completed,1.4,2.75,1.41,3.13,1.42,3.38,1.38,3.01
3,Melbourne,Great Ocean Road Open,2/02/2021,ATP250,Outdoor,Hard,1st Round,3,Haase R.,Coppejans K.,198,178,330,368,6,4,6,3,,,,,,,2,0,Completed,1.57,2.25,1.68,2.31,1.69,2.42,1.63,2.25
3,Melbourne,Great Ocean Road Open,2/02/2021,ATP250,Outdoor,Hard,1st Round,3,Querrey S.,Laaksonen H.,51,136,1085,492,4,6,7,6,6,0,,,,,2,1,Completed,1.5,2.5,1.53,2.66,1.58,2.66,1.53,2.48
3,Melbourne,Great Ocean Road Open,2/02/2021,ATP250,Outdoor,Hard,1st Round,3,Torpegaard M.,Martinez P.,193,87,340,810,6,4,7,5,,,,,,,2,0,Completed,2.25,1.57,2.39,1.64,2.45,1.65,2.34,1.59
3,Melbourne,Great Ocean Road Open,2/02/2021,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Delbonis F.,320,77,141,851,6,3,7,6,,,,,,,2,0,Completed,,,,,2.75,1.5,2.65,1.45
3,Melbourne,Great Ocean Road Open,2/02/2021,ATP250,Outdoor,Hard,1st Round,3,Vilella Martinez M.,Hanfmann Y.,188,101,346,736,7,6,6,4,,,,,,,2,0,Completed,2.37,1.53,2.69,1.52,2.75,1.56,2.52,1.51
3,Melbourne,Great Ocean Road Open,2/02/2021,ATP250,Outdoor,Hard,1st Round,3,Stebe C.M.,Dellien H.,128,112,534,646,6,4,6,4,,,,,,,2,0,Completed,1.2,4.33,1.25,4.35,1.28,4.45,1.24,4.04
3,Melbourne,Great Ocean Road Open,2/02/2021,ATP250,Outdoor,Hard,1st Round,3,Stakhovsky S.,Safiullin R.,201,182,329,357,6,7,6,4,6,3,,,,,2,1,Completed,3,1.36,3.03,1.43,3.03,1.5,2.86,1.41
3,Melbourne,Great Ocean Road Open,2/02/2021,ATP250,Outdoor,Hard,1st Round,3,Monteiro T.,Fancutt T.,83,562,824,53,6,4,6,4,,,,,,,2,0,Completed,1.14,5.5,1.16,5.92,1.17,6.25,1.15,5.53
3,Melbourne,Great Ocean Road Open,2/02/2021,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Schoolkate T.,159,844,423,18,6,4,7,5,,,,,,,2,0,Completed,1.33,3.25,1.39,3.23,1.4,3.3,1.36,3.1
